Province;Commune;Indice CDL;Inégalité Gini/100;Déficit Education;Déficit Santé;Déficit Activité Economique;Déficit Habitat;Déficit Services Sociaux;Déficit Niveau de Vie;InégalitéGINII
Errachidia;Aarab Sebbah Gheris;0.639;32.5;0.448;0.458;0.148;0.310;0.359;0.442;0.325
Errachidia;Aarab Sebbah Ziz;0.660;31.5;0.497;0.439;0.042;0.257;0.371;0.432;0.315
Al  Haouz;Abadou;0.627;27.9;0.608;0.379;0.064;0.349;0.329;0.506;0.279
Guelmim;Abaynou;0.648;46.1;0.576;0.355;0.007;0.289;0.373;0.511;0.461
Figuig;Abbou Lakhal;0.414;23.2;0.597;0.367;0.227;0.732;0.739;0.853;0.232
Al Hoceima;Abdelghaya Souahel;0.500;35.7;0.605;0.363;0.752;0.249;0.568;0.467;0.357
Tan-Tan;Abteh;0.472;38.6;0.651;0.406;0.510;0.383;0.588;0.631;0.386
Essaouira;Adaghas;0.494;29.8;0.786;0.427;0.036;0.493;0.646;0.647;0.298
Taroudannt;Adar;0.574;32.1;0.709;0.517;0.039;0.384;0.393;0.515;0.321
Chichaoua;Adassil;0.529;26.6;0.706;0.429;0.332;0.356;0.416;0.584;0.266
Guelmim;Aday;0.627;39.4;0.676;0.442;0.053;0.312;0.282;0.474;0.394
Tata;Adis;0.679;41.2;0.487;0.420;0.036;0.300;0.268;0.415;0.412
Sefrou;Adrej;0.576;41.7;0.592;0.540;0.203;0.317;0.390;0.504;0.417
Chichaoua;Afalla Issen;0.532;28.4;0.725;0.471;0.026;0.388;0.588;0.609;0.284
Tiznit;Afella Ighir;0.599;40.4;0.712;0.530;0.062;0.265;0.365;0.469;0.404
Zagora;Afella N'Dra;0.535;35.3;0.571;0.646;0.074;0.530;0.293;0.677;0.353
Guelmim;Aferkat;0.642;43.3;0.513;0.332;0.000;0.247;0.532;0.523;0.433
Azilal;Afourar;0.717;30.1;0.390;0.426;0.074;0.198;0.222;0.387;0.301
Zagora;Afra;0.565;29.4;0.595;0.432;0.378;0.403;0.333;0.468;0.294
Nador;Afsou;0.473;40.7;0.839;0.451;0.325;0.329;0.620;0.598;0.407
"Agadir-Ida
-Ou-Tanane";Agadir (Mun,);0.807;41.4;0.334;0.333;0.019;0.193;0.028;0.249;0.414
Taroudannt;Agadir Melloul;0.557;30.1;0.759;0.422;0.230;0.335;0.365;0.547;0.301
Marrakech;Agafay;0.639;28.2;0.553;0.421;0.083;0.303;0.326;0.480;0.282
Fès;Agdal (Arrond,);0.837;35.6;0.237;0.323;0.029;0.232;0.013;0.140;0.356
Rabat;Agdal Riyad (Arrond,);0.853;37.9;0.218;0.319;0.032;0.249;0.048;0.015;0.379
Zagora;Agdz (Mun,);0.735;51.4;0.434;0.286;0.082;0.192;0.241;0.356;0.514
Berkane;Aghbal;0.659;44.7;0.482;0.462;0.046;0.239;0.328;0.490;0.447
Béni Mellal;Aghbala;0.577;22.7;0.630;0.457;0.175;0.343;0.403;0.530;0.227
Midelt;Aghbalou;0.590;33.0;0.635;0.429;0.203;0.326;0.380;0.488;0.330
Sefrou;Aghbalou Aqorar;0.597;34.2;0.548;0.409;0.129;0.365;0.413;0.554;0.342
Al  Haouz;Aghbar;0.517;25.5;0.815;0.406;0.461;0.390;0.282;0.546;0.255
Midelt;Agoudim;0.478;25.8;0.847;0.725;0.037;0.527;0.441;0.555;0.258
Khénifra;Aguelmam Azegza;0.415;29.4;0.713;0.371;0.365;0.615;0.723;0.725;0.294
Essaouira;Aguerd;0.568;29.4;0.684;0.500;0.109;0.315;0.442;0.541;0.294
Tata;Aguinane;0.601;32.6;0.667;0.530;0.054;0.374;0.280;0.492;0.326
Chichaoua;Ahdil;0.573;25.2;0.614;0.417;0.116;0.338;0.445;0.630;0.252
Berkane;Ahfir (Mun,);0.815;42.9;0.323;0.306;0.042;0.165;0.016;0.258;0.429
Oujda-Angad;Ahl Angad;0.617;30.7;0.558;0.376;0.103;0.299;0.446;0.512;0.307
Taourirt;Ahl Oued Za;0.548;38.4;0.611;0.365;0.278;0.382;0.522;0.553;0.384
Taroudannt;Ahl Ramel;0.662;35.6;0.588;0.447;0.030;0.244;0.290;0.429;0.356
Sefrou;Ahl Sidi Lahcen;0.564;30.0;0.559;0.590;0.295;0.292;0.360;0.517;0.300
Taroudannt;Ahl Tifnoute;0.449;26.4;0.744;0.433;0.688;0.369;0.527;0.546;0.264
Benslimane;Ahlaf;0.547;23.3;0.601;0.402;0.184;0.352;0.586;0.596;0.233
Taroudannt;Ahmar Laglalcha;0.663;30.6;0.526;0.437;0.027;0.253;0.320;0.460;0.306
Taounate;Ain Aicha;0.567;28.9;0.552;0.425;0.425;0.281;0.432;0.484;0.289
Skhirate- Témara;Ain Attig (Mun,);0.711;30.9;0.390;0.326;0.032;0.299;0.291;0.398;0.309
Ouezzane;Ain Beida;0.519;30.1;0.522;0.451;0.559;0.318;0.506;0.529;0.301
Fès;Ain Bida;0.658;30.7;0.483;0.388;0.137;0.284;0.296;0.464;0.307
Settat;Ain Blal;0.563;25.3;0.612;0.431;0.210;0.317;0.534;0.519;0.253
Jerada;Ain Bni Mathar (Mun,);0.767;40.8;0.466;0.231;0.044;0.194;0.052;0.413;0.408
Moulay Yacoub;Ain Bou Ali;0.506;45.3;0.629;0.388;0.463;0.328;0.567;0.588;0.453
Figuig;Ain Chair;0.586;29.3;0.553;0.512;0.181;0.345;0.354;0.538;0.293
Sefrou;Ain Cheggag;0.649;33.4;0.478;0.391;0.261;0.247;0.246;0.484;0.334
Moulay Yacoub;Ain Chkef;0.639;23.1;0.496;0.402;0.087;0.288;0.370;0.524;0.231
Figuig;Ain Chouater;0.663;26.1;0.469;0.444;0.194;0.310;0.139;0.467;0.261
Sidi Kacem;Ain Dfali;0.573;27.8;0.553;0.434;0.208;0.322;0.508;0.537;0.278
Settat;Ain Dorbane- Lahlaf;0.563;25.5;0.549;0.415;0.297;0.312;0.549;0.500;0.255
Skhirate- Témara;Ain El Aouda (Mun,);0.767;33.9;0.384;0.330;0.038;0.205;0.038;0.405;0.339
Berkane;Ain Erreggada (Mun,);0.774;35.9;0.456;0.330;0.065;0.162;0.029;0.315;0.359
Mohammadia;Ain Harrouda (Mun,);0.710;36.4;0.379;0.344;0.020;0.397;0.212;0.390;0.364
Meknès;Ain Jemaa;0.562;27.2;0.555;0.388;0.395;0.296;0.476;0.515;0.272
Khémisset;Ain Johra -Sidi Boukhalkhal;0.495;20.3;0.574;0.398;0.303;0.404;0.706;0.643;0.203
Khouribga;Ain Kaicher;0.552;22.1;0.502;0.441;0.200;0.396;0.545;0.603;0.221
Moulay Yacoub;Ain Kansra;0.582;32.0;0.575;0.431;0.263;0.288;0.459;0.491;0.320
Meknès;Ain Karma- Oued Rommane;0.612;31.5;0.510;0.505;0.179;0.251;0.368;0.514;0.315
Tétouan;Ain Lahsan;0.549;23.0;0.663;0.452;0.124;0.295;0.584;0.587;0.230
Taounate;Ain Legdah;0.557;29.8;0.611;0.433;0.338;0.275;0.516;0.483;0.298
Taourirt;Ain Lehjer;0.514;41.4;0.548;0.339;0.362;0.368;0.642;0.654;0.414
Ifrane;Ain Leuh;0.642;28.0;0.503;0.452;0.098;0.291;0.304;0.499;0.280
Taounate;Ain Maatouf;0.534;26.7;0.561;0.517;0.362;0.331;0.506;0.521;0.267
Taounate;Ain Mediouna;0.635;27.6;0.474;0.430;0.077;0.290;0.455;0.466;0.276
Meknès;Ain Orma;0.646;31.4;0.528;0.465;0.100;0.257;0.278;0.494;0.314
Khémisset;Ain Sbit;0.549;26.7;0.578;0.442;0.175;0.388;0.515;0.606;0.267
Oujda-Angad;Ain Sfa;0.527;38.5;0.591;0.444;0.363;0.371;0.491;0.581;0.385
El Hajeb;Ain Taoujdate (Mun,);0.773;33.3;0.396;0.331;0.049;0.185;0.040;0.360;0.333
Chichaoua;Ain Tazitounte;0.593;27.7;0.616;0.437;0.078;0.321;0.433;0.553;0.277
Sefrou;Ain Timguenai;0.673;29.8;0.450;0.403;0.056;0.258;0.316;0.476;0.298
Benslimane;Ain Tizgha;0.639;27.3;0.488;0.391;0.082;0.290;0.446;0.469;0.273
Driouch;Ain Zohra;0.577;35.2;0.714;0.516;0.062;0.238;0.505;0.502;0.352
Casablanca;Aïn-Chock (Arrond,);0.809;32.6;0.286;0.335;0.027;0.229;0.048;0.224;0.326
Casablanca;Aïn-Sebaâ (Arrond,);0.794;34.8;0.257;0.346;0.020;0.300;0.067;0.245;0.348
Al  Haouz;Ait Aadel;0.615;27.8;0.670;0.370;0.075;0.393;0.327;0.476;0.278
Azilal;Ait Abbas;0.489;27.6;0.739;0.353;0.173;0.569;0.590;0.646;0.276
Taroudannt;Ait Abdallah;0.605;36.4;0.645;0.514;0.006;0.320;0.366;0.516;0.364
Essaouira;Ait Aissi Ihahane;0.442;32.2;0.791;0.563;0.338;0.430;0.637;0.590;0.322
Chtouka- Ait Baha;Ait Amira;0.659;34.0;0.549;0.405;0.015;0.213;0.361;0.505;0.340
Khouribga;Ait Ammar;0.516;28.3;0.557;0.452;0.200;0.397;0.630;0.670;0.283
Midelt;Ait Ayach;0.587;37.4;0.630;0.418;0.222;0.334;0.407;0.466;0.374
Chtouka- Ait Baha;Ait Baha (Mun,);0.757;33.1;0.498;0.234;0.060;0.196;0.098;0.369;0.331
Boulemane;Ait Bazza;0.487;27.4;0.757;0.506;0.149;0.500;0.516;0.646;0.274
Khémisset;Ait Belkacem;0.525;21.8;0.584;0.407;0.129;0.403;0.731;0.594;0.218
Midelt;Ait Ben Yacoub;0.568;37.2;0.577;0.627;0.116;0.363;0.410;0.500;0.372
Azilal;Ait Blal;0.543;33.5;0.725;0.371;0.039;0.436;0.599;0.574;0.335
Azilal;Ait Bou Oulli;0.529;30.6;0.707;0.401;0.286;0.454;0.418;0.559;0.306
El Hajeb;Ait Boubidmane;0.665;29.7;0.505;0.436;0.029;0.256;0.275;0.509;0.297
Zagora;Ait Boudaoud;0.659;30.7;0.580;0.419;0.070;0.302;0.272;0.402;0.307
Guelmim;Ait Boufoulen;0.570;31.2;0.720;0.326;0.011;0.428;0.539;0.556;0.312
El Hajeb;Ait Bourzouine;0.559;33.1;0.568;0.451;0.226;0.351;0.507;0.544;0.331
Khémisset;Ait Buyahya El Hajjama;0.593;23.8;0.477;0.451;0.213;0.264;0.521;0.513;0.238
Essaouira;Ait Daoud (Mun,);0.723;28.1;0.533;0.263;0.018;0.193;0.203;0.452;0.281
Tinghir;Ait El Farsi;0.608;29.8;0.575;0.421;0.069;0.341;0.448;0.501;0.298
Boulemane;Ait El Mane;0.527;36.7;0.705;0.469;0.182;0.401;0.519;0.565;0.367
